model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	2.454819	-0.96612005	3.3372899	4	1.2081664	-1.1689537	1.2082459	-1.1689642	2	1	0.43723027	0.43734763	0.43724104	0.43735209	1.0036782	-0.96612005	0	0	0	0.98679644	1.0200259	1.0034112	-0.67363376	0.98679644	0.67363376	0.62632535	-0.69278435	-9.989632	R0:1	1.0034112	20a4d9d	v2.1.5	 1.57e-03	 1.59e-02	 8.31e-03	general_bath_1D.py	2023-07-07@10:27
2L_4b_gen	2.3999123	-0.97033585	0.62702328	4	1.193265	-1.1409077	1.193193	-1.1409296	2	1	0.43582174	0.43680676	0.435815	0.43680573	0.99859801	-0.97033585	0	0	0	1.000533	0.99946577	0.99999937	-0.67702279	1.000533	0.67702279	0.64702036	-0.64488597	-9.8766379	R0:1	0.99999937	20a4d9d	v2.1.5	 1.48e-04	 1.85e-02	 3.62e-03	general_bath_1D.py	2023-07-07@10:28
2L_4b_gen	2.4205667	-0.96942445	2.6388372	4	1.1579434	-1.1517438	1.1579091	-1.1517242	2	1	0.43539556	0.43369908	0.43538917	0.43369352	1.0023337	-0.96942445	0	0	0	0.9915961	1.0136253	1.0026107	-0.67681324	0.9915961	0.67681324	0.62956572	-0.67362421	-9.9269944	R0:1	1.0026107	20a4d9d	v2.1.5	 3.43e+00	 1.14e+00	 5.90e-03	general_bath_1D.py	2023-07-07@10:28
2L_4b_gen	0.66489378	-0.94641723	2.2170296	4	3.8657137	-0.31748125	0.23103008	-0.38010143	2	1	0.46586181	-0.2459716	-0.16682391	0.17528488	0.99892825	-0.94641723	0	0	0	0.98791315	1.0135352	1.0007242	-0.71978658	0.98791315	0.71978658	0.53625313	-0.58749719	-6.3994517	R0:1	1.0007242	20a4d9d	v2.1.5	 6.67e-04	 1.11e+00	 1.32e-01	general_bath_1D.py	2023-07-07@10:28
2L_4b_gen	2.9465891	-0.96333118	0.91136556	4	1.4610832	-1.4205203	1.4612035	-1.4204396	2	1	0.44856843	-0.44521451	-0.44858707	0.44520953	0.99954656	-0.96333118	0	0	0	0.98786027	1.0124005	1.0001304	-0.68515826	0.98786027	0.68515826	0.605404	-0.65448445	-10.976751	R0:1	1.0001304	20a4d9d	v2.1.5	 1.62e-02	 2.46e-01	 1.10e-01	general_bath_1D.py	2023-07-07@10:29
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9598636	-0.96605585	0.85275568	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.003053	-0.96605585	0	0	0	1.0104018	1.0109362	1.010669	-0.67479752	1.0104018	0.67479752	0.67120857	-0.67227731	-9.0002389	R0:1	1.010669	20a4d9d	v2.1.5	 2.31e-04	 1.13e-01	 1.00e+06	general_bath_1D.py	2023-07-07@10:31
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9597929	-0.96953162	2.7070845	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0006532	-0.96953162	0	0	0	1.0238655	0.99281064	1.0083381	-0.67682395	1.0238655	0.67682395	0.6940832	-0.63197338	-9.0001777	R0:1	1.0083381	20a4d9d	v2.1.5	 3.78e-04	 1.12e-01	 1.00e+06	general_bath_1D.py	2023-07-07@14:26
2L_4b_gen	2.3582709	-0.9693468	3.1904024	4	1.2070697	-1.120739	1.207158	-1.1207871	2	1	0.43621807	0.43401893	0.43622967	0.43402816	1.0057951	-0.9693468	0	0	0	0.98573327	1.0252001	1.0054667	-0.67525932	0.98573327	0.67525932	0.6209479	-0.69988161	-9.7942667	R0:1	1.0054667	20a4d9d	v2.1.5	 1.91e-03	 2.49e-02	 3.18e-02	general_bath_1D.py	2023-07-07@14:27
2L_4b_gen	2.2709028	-0.95537643	1.5958298	4	1.1829736	-1.0774934	1.1829993	-1.0775275	2	1	0.43206011	0.43077663	0.43206329	0.43077558	0.99615291	-0.95537643	0	0	0	0.98186524	1.0138663	0.99786576	-0.66467883	0.98186524	0.66467883	0.63437282	-0.69837492	-9.6230026	R0:1	0.99786576	20a4d9d	v2.1.5	 7.82e-04	 3.54e-02	 4.33e-03	general_bath_1D.py	2023-07-07@14:27
2L_4b_gen	2.4070417	-0.95230367	2.1258096	4	1.1995353	-1.1461975	1.199584	-1.1462304	2	1	0.43659911	0.43126286	0.43661018	0.4312697	1.0000605	-0.95230367	0	0	0	1.0137201	0.98920426	1.0014622	-0.66287131	1.0137201	0.66287131	0.7016975	-0.65266589	-9.893163	R0:1	1.0014622	20a4d9d	v2.1.5	 1.08e-03	 3.52e-02	 9.67e-03	general_bath_1D.py	2023-07-07@14:27
2L_4b_gen	2.4804651	-0.97045482	-0.2108029	4	1.139978	-1.1831861	1.1400136	-1.183286	2	1	0.43145843	0.43347505	0.43146911	0.43349363	0.99952283	-0.97045482	0	0	0	0.99316423	1.0034614	0.9983128	-0.6780241	0.99316423	0.6780241	0.63028026	-0.65087453	-10.032172	R0:1	0.9983128	20a4d9d	v2.1.5	 3.76e-04	 2.15e-02	 5.56e-03	general_bath_1D.py	2023-07-07@14:28
