model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0045054	4	0.36968646	-0.20663097	0.36483921	-0.20390553	1.05	1	0.32216769	0.3318519	0.32106808	0.33106528	0.87171238	-1.0045054	nan	nan	nan	nan	nan	0.90570006	-0.60904077	nan	nan	nan	nan	-4.28628	R0:N6:S0:1	0.90570006	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:49
2L_4b_gen	-1.0066702	4	0.36754255	-0.207703	0.36249052	-0.20503541	1.05	1	0.31934402	0.33372528	0.31821562	0.33294248	0.87085673	-1.0066702	nan	nan	nan	nan	nan	0.90495312	-0.61062786	nan	nan	nan	nan	-4.2887147	R0:N6:S0:1	0.90495312	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:50
2L_4b_gen	-1.0060884	4	0.36810232	-0.20742011	0.36302737	-0.20477022	1.05	1	0.32098821	0.3327737	0.31985928	0.3319844	0.87128006	-1.0060884	nan	nan	nan	nan	nan	0.90625003	-0.60910398	nan	nan	nan	nan	-4.2891176	R0:N6:S0:1	0.90625003	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:51
2L_4b_gen	-1.0060119	4	0.36555372	-0.2065614	0.35974813	-0.20406869	1.05	1	0.31990641	0.33470052	0.31870804	0.33387758	0.87107013	-1.0060119	nan	nan	nan	nan	nan	0.90459641	-0.60837119	nan	nan	nan	nan	-4.288414	R0:N6:S0:1	0.90459641	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:51
2L_4b_gen	-1.0062634	4	0.36569082	-0.20735037	0.36079413	-0.20495914	1.05	1	0.32157311	0.33201435	0.32053216	0.33126447	0.87233026	-1.0062634	nan	nan	nan	nan	nan	0.90530008	-0.60951257	nan	nan	nan	nan	-4.2904923	R0:N6:S0:1	0.90530008	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:52
2L_4b_gen	-1.0094044	4	0.3697574	-0.20857094	0.36564762	-0.20600337	1.05	1	0.32064578	0.33364252	0.31965172	0.33294772	0.87064576	-1.0094044	nan	nan	nan	nan	nan	0.90583438	-0.61329472	nan	nan	nan	nan	-4.2937884	R0:N6:S0:1	0.90583438	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:53
2L_4b_gen	-1.0063792	4	0.3607353	-0.20601395	0.35445259	-0.20320341	1.05	1	0.3192024	0.33323392	0.31789276	0.33233103	0.87044987	-1.0063792	nan	nan	nan	nan	nan	0.90376872	-0.60825995	nan	nan	nan	nan	-4.2839865	R0:N6:S0:1	0.90376872	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:54
2L_4b_gen	-1.0088428	4	0.36499079	-0.20505406	0.35921772	-0.20223417	1.05	1	0.32125267	0.33203654	0.320015	0.33116147	0.87057079	-1.0088428	nan	nan	nan	nan	nan	0.90441248	-0.61052582	nan	nan	nan	nan	-4.2807375	R0:N6:S0:1	0.90441248	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:55
2L_4b_gen	-1.0043205	4	0.36891016	-0.20478194	0.36370273	-0.20219551	1.05	1	0.32202651	0.33299247	0.3209063	0.33219057	0.8706445	-1.0043205	nan	nan	nan	nan	nan	0.90433756	-0.60821885	nan	nan	nan	nan	-4.2816256	R0:N6:S0:1	0.90433756	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:56
2L_4b_gen	-1.0063232	4	0.37044978	-0.20579488	0.36462977	-0.2032107	1.05	1	0.32086222	0.33198458	0.31966593	0.33113471	0.87163806	-1.0063232	nan	nan	nan	nan	nan	0.90539378	-0.61202225	nan	nan	nan	nan	-4.2805235	R0:N6:S0:1	0.90539378	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:57
