model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	omegaH	script	time	
2L_4b_gen	0.49893369	-1.0011272	0.9612236	4	0.38645765	-0.20324007	0.3802224	-0.20072717	1.1	1	0.31705177	0.33192551	0.31581114	0.33109048	0.86508525	-1.0011272	nan	nan	nan	nan	nan	0.90587039	-0.60915633	nan	nan	nan	nan	-4.3348968	R0:N6:S0:1	0.90587039	20a4d9d	v2.1.5	0.49893369	general_bath_1D.py	2023-07-26@10:42
2L_4b_gen	0.47199776	-1.0189827	0.36398708	4	0.37560536	-0.18263388	0.37276794	-0.18360618	1.1	1	0.33195745	0.31912803	0.33184103	0.3189609	0.87566292	-1.0189827	nan	nan	nan	nan	nan	0.91186923	-0.61599082	nan	nan	nan	nan	-4.2856376	R0:N6:S0:1	0.91186923	20a4d9d	v2.1.5	0.47199776	general_bath_1D.py	2023-07-26@10:42
2L_4b_gen	0.52313558	-1.0410034	0.33127005	4	0.26889592	-0.2075896	0.26880052	-0.20511037	1.1	1	0.31494428	0.32367369	0.31445243	0.32345147	0.8671555	-1.0410034	nan	nan	nan	nan	nan	0.89266667	-0.61075172	nan	nan	nan	nan	-4.3891355	R0:N6:S0:1	0.89266667	20a4d9d	v2.1.5	0.52313558	general_bath_1D.py	2023-07-26@10:43
2L_4b_gen	0.5058664	-1.0266076	0.33137815	4	0.2692487	-0.18565584	0.27650467	-0.19045474	1.1	1	0.33701925	0.30938318	0.33845769	0.31101543	0.88212912	-1.0266076	nan	nan	nan	nan	nan	0.8861142	-0.59994292	nan	nan	nan	nan	-4.3472891	R0:N6:S0:1	0.8861142	20a4d9d	v2.1.5	0.5058664	general_bath_1D.py	2023-07-26@10:43
2L_4b_gen	0.5905392	-1.0154368	0.28162381	4	0.38187552	-0.24389147	0.3812836	-0.23063311	1.1	1	0.33569591	0.33803044	0.33335104	0.33607819	0.87367561	-1.0154368	nan	nan	nan	nan	nan	0.90413132	-0.61243097	nan	nan	nan	nan	-4.5146599	R0:N6:S0:1	0.90413132	20a4d9d	v2.1.5	0.5905392	general_bath_1D.py	2023-07-26@10:44
2L_4b_gen	0.51294247	-1.01501	0.319918	4	0.35020287	-0.20258496	0.34843951	-0.19997784	1.1	1	0.32960099	0.32311076	0.3289456	0.32258189	0.87013982	-1.01501	nan	nan	nan	nan	nan	0.89333341	-0.61190206	nan	nan	nan	nan	-4.3599939	R0:N6:S0:1	0.89333341	20a4d9d	v2.1.5	0.51294247	general_bath_1D.py	2023-07-26@10:44
2L_4b_gen	0.5067386	-1.0176744	-0.24928001	4	0.38843159	-0.20778129	0.38803619	-0.20479559	1.1	1	0.33574129	0.32211288	0.33519561	0.3216382	0.86557481	-1.0176744	nan	nan	nan	nan	nan	0.93239996	-0.63920227	nan	nan	nan	nan	-4.3310387	R0:N6:S0:1	0.93239996	20a4d9d	v2.1.5	0.5067386	general_bath_1D.py	2023-07-26@10:44
2L_4b_gen	0.52265679	-1.0246215	0.3353586	4	0.38843159	-0.20778129	0.38803619	-0.20479559	1.2	1	0.33574129	0.32211288	0.33519561	0.3216382	0.90096008	-1.0246215	nan	nan	nan	nan	nan	0.92113256	-0.63225176	nan	nan	nan	nan	-4.5554808	R0:N6:S0:1	0.92113256	20a4d9d	v2.1.5	0.52265679	general_bath_1D.py	2023-07-26@10:45
2L_4b_gen	0.58616278	-0.99132425	0.29252825	4	0.46505513	-0.24341858	0.46764377	-0.24554426	1.2	1	0.32777335	0.3441727	0.32844844	0.34470038	0.88554486	-0.99132425	nan	nan	nan	nan	nan	0.93073265	-0.62024759	nan	nan	nan	nan	-4.6940397	R0:N6:S0:1	0.93073265	20a4d9d	v2.1.5	0.58616278	general_bath_1D.py	2023-07-26@10:45
2L_4b_gen	0.49775086	-1.0106868	0.41808008	4	0.38728003	-0.20185288	0.38501511	-0.20158259	1.2	1	0.31902977	0.3204397	0.31872185	0.32020455	0.90429406	-1.0106868	nan	nan	nan	nan	nan	0.93227143	-0.63063634	nan	nan	nan	nan	-4.5112702	R0:N6:S0:1	0.93227143	20a4d9d	v2.1.5	0.49775086	general_bath_1D.py	2023-07-26@10:46
